pid,burst_time,remaining_time,priority,memory_required,state
1,1,1,1,110,READY
2,3,3,4,44,READY
3,2,2,2,102,READY
4,5,5,2,91,READY
5,4,4,1,19,READY
6,1,1,4,45,READY
7,5,5,10,19,READY
8,5,5,4,107,READY
9,5,5,7,44,READY
10,4,4,10,51,READY
11,1,1,3,105,READY
12,4,4,6,51,READY
13,2,2,4,113,READY
14,3,3,2,27,READY
15,4,4,2,61,READY
16,3,3,10,49,READY
17,1,1,8,84,READY
18,1,1,7,26,READY
19,5,5,5,122,READY
20,5,5,6,89,READY
21,2,2,2,21,READY
22,2,2,5,26,READY
23,2,2,2,64,READY
24,3,3,8,97,READY
25,3,3,3,63,READY
26,3,3,4,101,READY
27,3,3,2,93,READY
28,2,2,9,109,READY
29,2,2,3,75,READY
30,4,4,5,97,READY
31,5,5,4,103,READY
32,3,3,1,45,READY
33,1,1,6,67,READY
34,3,3,2,43,READY
35,5,5,6,43,READY
36,4,4,7,98,READY
37,4,4,3,49,READY
38,2,2,4,111,READY
39,5,5,9,49,READY
40,5,5,7,90,READY
41,4,4,6,44,READY
42,2,2,9,79,READY
43,1,1,1,126,READY
44,1,1,3,96,READY
45,2,2,7,92,READY
46,1,1,7,64,READY
47,5,5,8,83,READY
48,3,3,9,126,READY
49,1,1,2,103,READY
50,5,5,5,114,READY
51,3,3,2,53,READY
52,4,4,3,74,READY
53,1,1,5,80,READY
54,2,2,9,29,READY
55,3,3,9,93,READY
56,2,2,3,63,READY
57,2,2,9,115,READY
58,5,5,1,92,READY
59,3,3,8,18,READY
60,1,1,6,128,READY
61,3,3,4,23,READY
62,2,2,10,26,READY
63,1,1,8,120,READY
64,1,1,9,114,READY
65,2,2,3,100,READY
66,4,4,9,37,READY
67,3,3,9,127,READY
68,5,5,7,43,READY
69,5,5,4,107,READY
70,3,3,7,101,READY
71,3,3,8,82,READY
72,4,4,2,47,READY
73,2,2,2,59,READY
74,1,1,10,86,READY
75,2,2,10,44,READY
76,1,1,2,106,READY
77,1,1,4,24,READY
78,1,1,6,25,READY
79,5,5,4,51,READY
80,4,4,4,85,READY
81,2,2,10,89,READY
82,4,4,4,116,READY
83,4,4,7,40,READY
84,1,1,2,100,READY
85,4,4,6,70,READY
86,4,4,8,126,READY
87,1,1,2,23,READY
88,4,4,6,118,READY
89,1,1,4,40,READY
90,2,2,9,73,READY
91,2,2,7,39,READY
92,3,3,8,47,READY
93,1,1,8,119,READY
94,5,5,2,22,READY
95,5,5,1,27,READY
96,2,2,3,68,READY
97,4,4,8,43,READY
98,4,4,1,37,READY
99,4,4,1,65,READY
100,3,3,8,52,READY
101,4,4,9,100,READY
102,4,4,3,40,READY
103,3,3,4,23,READY
104,5,5,9,23,READY
105,3,3,1,22,READY
106,5,5,8,80,READY
107,5,5,3,23,READY
108,5,5,2,124,READY
109,2,2,2,92,READY
110,1,1,4,67,READY
111,1,1,10,47,READY
112,5,5,10,21,READY
113,5,5,2,69,READY
114,5,5,10,82,READY
115,3,3,5,42,READY
116,3,3,4,49,READY
117,4,4,3,101,READY
118,3,3,8,56,READY
119,1,1,1,74,READY
120,5,5,10,28,READY
121,1,1,9,43,READY
122,5,5,5,32,READY
123,3,3,2,128,READY
124,2,2,6,52,READY
125,2,2,8,122,READY
126,5,5,5,94,READY
127,5,5,1,101,READY
128,5,5,5,100,READY
129,1,1,3,49,READY
130,1,1,2,111,READY
131,5,5,3,50,READY
132,3,3,10,42,READY
133,3,3,4,103,READY
134,3,3,9,78,READY
135,3,3,1,27,READY
136,4,4,5,21,READY
137,1,1,6,114,READY
138,2,2,5,36,READY
139,4,4,9,106,READY
140,4,4,9,17,READY
141,1,1,2,104,READY
142,2,2,9,20,READY
143,3,3,10,86,READY
144,2,2,7,32,READY
145,1,1,5,62,READY
146,1,1,6,42,READY
147,2,2,2,61,READY
148,5,5,7,95,READY
149,2,2,4,126,READY
150,2,2,3,128,READY
151,4,4,1,38,READY
152,3,3,7,118,READY
153,2,2,5,36,READY
154,1,1,7,127,READY
155,1,1,8,44,READY
156,2,2,8,60,READY
157,3,3,4,44,READY
158,1,1,4,67,READY
159,3,3,5,126,READY
160,1,1,5,60,READY
161,5,5,7,102,READY
162,5,5,6,19,READY
163,1,1,5,38,READY
164,5,5,5,20,READY
165,1,1,10,71,READY
166,3,3,6,71,READY
167,5,5,9,30,READY
168,4,4,10,40,READY
169,3,3,1,106,READY
170,4,4,1,82,READY
171,5,5,4,62,READY
172,4,4,2,101,READY
173,3,3,10,56,READY
174,1,1,5,80,READY
175,3,3,7,57,READY
176,4,4,5,86,READY
177,2,2,4,69,READY
178,4,4,3,94,READY
179,5,5,5,67,READY
180,5,5,1,54,READY
181,3,3,4,71,READY
182,5,5,10,99,READY
183,3,3,8,72,READY
184,4,4,4,81,READY
185,4,4,3,100,READY
186,1,1,5,81,READY
187,5,5,6,27,READY
188,2,2,5,44,READY
189,2,2,3,19,READY
190,1,1,4,76,READY
191,5,5,2,74,READY
192,4,4,10,40,READY
193,4,4,8,67,READY
194,2,2,3,99,READY
195,1,1,2,115,READY
196,4,4,4,38,READY
197,5,5,8,22,READY
198,5,5,4,124,READY
199,1,1,8,33,READY
200,4,4,9,87,READY
201,5,5,6,112,READY
202,4,4,10,120,READY
203,5,5,7,122,READY
204,5,5,8,36,READY
205,4,4,8,49,READY
206,2,2,5,114,READY
207,5,5,8,96,READY
208,2,2,5,72,READY
209,1,1,5,46,READY
210,3,3,6,56,READY
211,5,5,2,33,READY
212,2,2,4,65,READY
213,2,2,4,24,READY
214,4,4,7,58,READY
215,5,5,8,69,READY
216,1,1,4,122,READY
217,4,4,7,114,READY
218,5,5,1,125,READY
219,5,5,7,77,READY
220,1,1,6,54,READY
221,4,4,7,84,READY
222,5,5,10,44,READY
223,4,4,4,50,READY
224,4,4,8,19,READY
225,4,4,6,101,READY
226,4,4,3,123,READY
227,4,4,3,95,READY
228,5,5,1,66,READY
229,5,5,10,100,READY
230,1,1,2,98,READY
231,4,4,3,126,READY
232,4,4,3,22,READY
233,3,3,7,57,READY
234,2,2,8,57,READY
235,3,3,7,51,READY
236,4,4,5,122,READY
237,1,1,8,18,READY
238,5,5,1,60,READY
239,2,2,2,115,READY
240,1,1,1,47,READY
241,2,2,1,95,READY
242,2,2,4,32,READY
243,4,4,2,88,READY
244,2,2,8,105,READY
245,3,3,6,37,READY
246,5,5,10,111,READY
247,1,1,3,55,READY
248,1,1,10,19,READY
249,3,3,10,102,READY
250,4,4,7,107,READY
251,2,2,2,91,READY
252,2,2,2,105,READY
253,3,3,10,119,READY
254,1,1,10,116,READY
255,1,1,6,84,READY
256,4,4,6,24,READY
257,5,5,6,17,READY
258,4,4,8,29,READY
259,4,4,6,97,READY
260,4,4,3,71,READY
261,2,2,9,99,READY
262,3,3,10,119,READY
263,5,5,8,75,READY
264,4,4,10,50,READY
265,3,3,4,122,READY
266,1,1,5,128,READY
267,4,4,4,112,READY
268,4,4,10,94,READY
269,4,4,6,19,READY
270,4,4,6,39,READY
271,4,4,4,61,READY
272,3,3,6,51,READY
273,5,5,5,87,READY
274,1,1,9,40,READY
275,1,1,4,108,READY
276,4,4,8,87,READY
277,2,2,8,98,READY
278,4,4,8,117,READY
279,1,1,2,53,READY
280,2,2,7,104,READY
281,2,2,5,100,READY
282,5,5,6,76,READY
283,5,5,9,60,READY
284,4,4,9,58,READY
285,3,3,8,50,READY
286,3,3,5,45,READY
287,1,1,4,56,READY
288,1,1,9,113,READY
289,2,2,4,43,READY
290,4,4,5,108,READY
291,5,5,9,92,READY
292,3,3,2,122,READY
293,2,2,5,45,READY
294,3,3,3,54,READY
295,1,1,9,32,READY
296,3,3,1,22,READY
297,5,5,5,105,READY
298,2,2,8,29,READY
299,1,1,10,52,READY
300,4,4,8,72,READY
301,3,3,3,22,READY
302,3,3,8,30,READY
303,1,1,7,78,READY
304,1,1,10,96,READY
305,1,1,3,35,READY
306,5,5,5,26,READY
307,2,2,2,87,READY
308,4,4,10,92,READY
309,5,5,4,115,READY
310,5,5,7,73,READY
311,4,4,5,126,READY
312,5,5,7,55,READY
313,5,5,10,23,READY
314,5,5,2,113,READY
315,2,2,4,49,READY
316,1,1,3,46,READY
317,2,2,9,25,READY
318,2,2,1,68,READY
319,4,4,10,76,READY
320,3,3,1,45,READY
321,3,3,5,105,READY
322,4,4,2,103,READY
323,2,2,5,116,READY
324,5,5,4,70,READY
325,1,1,9,44,READY
326,2,2,5,121,READY
327,2,2,2,23,READY
328,2,2,5,92,READY
329,5,5,5,72,READY
330,1,1,8,104,READY
331,3,3,7,50,READY
332,5,5,9,79,READY
333,4,4,2,92,READY
334,1,1,7,110,READY
335,3,3,10,48,READY
336,1,1,2,45,READY
337,5,5,10,18,READY
338,3,3,10,21,READY
339,2,2,8,82,READY
340,4,4,5,39,READY
341,5,5,7,97,READY
342,4,4,2,76,READY
343,3,3,7,58,READY
344,3,3,2,125,READY
345,2,2,6,68,READY
346,4,4,5,100,READY
347,4,4,9,20,READY
348,4,4,2,56,READY
349,3,3,6,30,READY
350,4,4,9,121,READY
351,1,1,9,75,READY
352,4,4,1,40,READY
353,5,5,6,95,READY
354,4,4,8,113,READY
355,1,1,4,50,READY
356,5,5,3,52,READY
357,4,4,8,31,READY
358,1,1,10,118,READY
359,2,2,3,55,READY
360,5,5,1,86,READY
361,4,4,2,44,READY
362,1,1,8,31,READY
363,2,2,8,107,READY
364,3,3,9,106,READY
365,3,3,7,122,READY
366,4,4,8,47,READY
367,4,4,9,34,READY
368,4,4,4,92,READY
369,5,5,3,126,READY
370,1,1,5,114,READY
371,4,4,6,116,READY
372,5,5,5,121,READY
373,1,1,5,108,READY
374,3,3,10,90,READY
375,4,4,3,73,READY
376,5,5,8,60,READY
377,3,3,9,113,READY
378,5,5,7,74,READY
379,3,3,4,105,READY
380,2,2,10,65,READY
381,2,2,7,21,READY
382,3,3,8,106,READY
383,4,4,7,100,READY
384,2,2,8,20,READY
385,2,2,9,91,READY
386,3,3,2,127,READY
387,4,4,2,83,READY
388,4,4,1,108,READY
389,2,2,7,127,READY
390,2,2,2,76,READY
391,3,3,6,95,READY
392,4,4,2,125,READY
393,3,3,9,64,READY
394,3,3,8,127,READY
395,5,5,1,95,READY
396,1,1,4,96,READY
397,3,3,4,111,READY
398,1,1,7,28,READY
399,1,1,8,37,READY
400,3,3,1,21,READY
401,3,3,1,53,READY
402,3,3,6,71,READY
403,2,2,4,83,READY
404,4,4,10,103,READY
405,2,2,3,38,READY
406,1,1,10,127,READY
407,4,4,10,103,READY
408,2,2,8,90,READY
409,2,2,4,75,READY
410,3,3,8,48,READY
411,1,1,8,52,READY
412,5,5,3,25,READY
413,4,4,6,91,READY
414,3,3,7,104,READY
415,3,3,8,124,READY
416,3,3,4,65,READY
417,4,4,2,46,READY
418,4,4,10,61,READY
419,5,5,5,105,READY
420,3,3,1,122,READY
421,4,4,5,17,READY
422,5,5,1,93,READY
423,4,4,5,115,READY
424,2,2,10,118,READY
425,3,3,4,97,READY
426,2,2,10,48,READY
427,2,2,2,96,READY
428,1,1,5,116,READY
429,4,4,1,90,READY
430,3,3,3,27,READY
431,3,3,6,111,READY
432,4,4,3,41,READY
433,2,2,9,128,READY
434,3,3,9,80,READY
435,3,3,3,48,READY
436,4,4,5,111,READY
437,3,3,2,75,READY
438,1,1,3,112,READY
439,2,2,7,124,READY
440,5,5,6,27,READY
441,4,4,1,49,READY
442,5,5,2,74,READY
443,3,3,5,90,READY
444,4,4,6,29,READY
445,2,2,8,19,READY
446,5,5,9,57,READY
447,5,5,4,98,READY
448,1,1,8,105,READY
449,3,3,7,30,READY
450,2,2,1,20,READY
451,3,3,8,30,READY
452,1,1,4,84,READY
453,2,2,7,74,READY
454,3,3,9,69,READY
455,5,5,3,69,READY
456,1,1,8,94,READY
457,4,4,5,20,READY
458,3,3,4,72,READY
459,4,4,4,125,READY
460,3,3,2,103,READY
461,3,3,9,98,READY
462,3,3,1,66,READY
463,3,3,4,31,READY
464,4,4,2,100,READY
465,2,2,10,18,READY
466,1,1,6,47,READY
467,2,2,10,42,READY
468,1,1,9,42,READY
469,5,5,4,120,READY
470,2,2,6,115,READY
471,2,2,10,16,READY
472,3,3,3,32,READY
473,5,5,5,118,READY
474,2,2,2,100,READY
475,1,1,3,17,READY
476,3,3,4,91,READY
477,3,3,1,38,READY
478,3,3,1,32,READY
479,4,4,9,30,READY
480,1,1,8,73,READY
481,3,3,9,91,READY
482,1,1,8,80,READY
483,2,2,10,21,READY
484,5,5,5,74,READY
485,1,1,1,77,READY
486,4,4,7,103,READY
487,1,1,8,107,READY
488,4,4,2,26,READY
489,3,3,10,34,READY
490,1,1,3,51,READY
491,5,5,10,86,READY
492,3,3,7,92,READY
493,5,5,5,74,READY
494,5,5,10,71,READY
495,1,1,2,125,READY
496,5,5,4,71,READY
497,4,4,4,68,READY
498,3,3,8,67,READY
499,4,4,2,56,READY
500,4,4,6,101,READY
