pid,burst_time,remaining_time,priority,memory_required,state
1,4,4,1,443,READY
2,9,9,4,178,READY
3,5,5,2,410,READY
4,18,18,2,366,READY
5,14,14,1,79,READY
6,3,3,4,183,READY
7,17,17,10,77,READY
8,18,18,4,430,READY
9,18,18,7,176,READY
10,15,15,10,206,READY
11,1,1,3,421,READY
12,14,14,6,206,READY
13,5,5,4,454,READY
14,11,11,2,111,READY
15,13,13,2,247,READY
16,12,12,10,199,READY
17,2,2,8,338,READY
18,4,4,7,104,READY
19,18,18,5,488,READY
20,20,20,6,359,READY
21,7,7,2,87,READY
22,8,8,5,104,READY
23,8,8,2,258,READY
24,9,9,8,389,READY
25,12,12,3,253,READY
26,12,12,4,407,READY
27,9,9,2,375,READY
28,6,6,9,437,READY
29,8,8,3,300,READY
30,13,13,5,391,READY
31,18,18,4,414,READY
32,11,11,1,181,READY
33,2,2,6,269,READY
34,9,9,2,172,READY
35,19,19,6,172,READY
36,16,16,7,393,READY
37,15,15,3,199,READY
38,5,5,4,445,READY
39,18,18,9,198,READY
40,19,19,7,362,READY
41,13,13,6,176,READY
42,5,5,9,316,READY
43,3,3,1,504,READY
44,4,4,3,385,READY
45,6,6,7,369,READY
46,3,3,7,259,READY
47,20,20,8,334,READY
48,9,9,9,504,READY
49,1,1,2,413,READY
50,18,18,5,457,READY
51,11,11,2,214,READY
52,14,14,3,296,READY
53,1,1,5,320,READY
54,6,6,9,118,READY
55,10,10,9,375,READY
56,7,7,3,255,READY
57,6,6,9,462,READY
58,17,17,1,370,READY
59,11,11,8,73,READY
60,4,4,6,489,READY
61,10,10,4,93,READY
62,8,8,10,104,READY
63,3,3,8,481,READY
64,3,3,9,456,READY
65,5,5,3,401,READY
66,16,16,9,148,READY
67,9,9,9,510,READY
68,20,20,7,172,READY
69,18,18,4,429,READY
70,10,10,7,407,READY
71,12,12,8,328,READY
72,15,15,2,190,READY
73,8,8,2,237,READY
74,1,1,10,347,READY
75,8,8,10,176,READY
76,1,1,2,426,READY
77,2,2,4,98,READY
78,2,2,6,100,READY
79,17,17,4,206,READY
80,16,16,4,340,READY
81,5,5,10,359,READY
82,16,16,4,465,READY
83,16,16,7,161,READY
84,4,4,2,401,READY
85,14,14,6,280,READY
86,14,14,8,506,READY
87,2,2,2,95,READY
88,13,13,6,473,READY
89,4,4,4,162,READY
90,7,7,9,293,READY
91,5,5,7,157,READY
92,9,9,8,191,READY
93,3,3,8,477,READY
94,18,18,2,89,READY
95,18,18,1,111,READY
96,8,8,3,272,READY
97,16,16,8,173,READY
98,13,13,1,148,READY
99,13,13,1,263,READY
100,9,9,8,210,READY
