pid,burst_time,remaining_time,priority,memory_required,state
1,1,1,1,110,READY
2,3,3,4,44,READY
3,2,2,2,102,READY
4,5,5,2,91,READY
5,4,4,1,19,READY
6,1,1,4,45,READY
7,5,5,10,19,READY
8,5,5,4,107,READY
9,5,5,7,44,READY
10,4,4,10,51,READY
11,1,1,3,105,READY
12,4,4,6,51,READY
13,2,2,4,113,READY
14,3,3,2,27,READY
15,4,4,2,61,READY
16,3,3,10,49,READY
17,1,1,8,84,READY
18,1,1,7,26,READY
19,5,5,5,122,READY
20,5,5,6,89,READY
21,2,2,2,21,READY
22,2,2,5,26,READY
23,2,2,2,64,READY
24,3,3,8,97,READY
25,3,3,3,63,READY
26,3,3,4,101,READY
27,3,3,2,93,READY
28,2,2,9,109,READY
29,2,2,3,75,READY
30,4,4,5,97,READY
31,5,5,4,103,READY
32,3,3,1,45,READY
33,1,1,6,67,READY
34,3,3,2,43,READY
35,5,5,6,43,READY
36,4,4,7,98,READY
37,4,4,3,49,READY
38,2,2,4,111,READY
39,5,5,9,49,READY
40,5,5,7,90,READY
41,4,4,6,44,READY
42,2,2,9,79,READY
43,1,1,1,126,READY
44,1,1,3,96,READY
45,2,2,7,92,READY
46,1,1,7,64,READY
47,5,5,8,83,READY
48,3,3,9,126,READY
49,1,1,2,103,READY
50,5,5,5,114,READY
51,3,3,2,53,READY
52,4,4,3,74,READY
53,1,1,5,80,READY
54,2,2,9,29,READY
55,3,3,9,93,READY
56,2,2,3,63,READY
57,2,2,9,115,READY
58,5,5,1,92,READY
59,3,3,8,18,READY
60,1,1,6,128,READY
61,3,3,4,23,READY
62,2,2,10,26,READY
63,1,1,8,120,READY
64,1,1,9,114,READY
65,2,2,3,100,READY
66,4,4,9,37,READY
67,3,3,9,127,READY
68,5,5,7,43,READY
69,5,5,4,107,READY
70,3,3,7,101,READY
71,3,3,8,82,READY
72,4,4,2,47,READY
73,2,2,2,59,READY
74,1,1,10,86,READY
75,2,2,10,44,READY
76,1,1,2,106,READY
77,1,1,4,24,READY
78,1,1,6,25,READY
79,5,5,4,51,READY
80,4,4,4,85,READY
81,2,2,10,89,READY
82,4,4,4,116,READY
83,4,4,7,40,READY
84,1,1,2,100,READY
85,4,4,6,70,READY
86,4,4,8,126,READY
87,1,1,2,23,READY
88,4,4,6,118,READY
89,1,1,4,40,READY
90,2,2,9,73,READY
91,2,2,7,39,READY
92,3,3,8,47,READY
93,1,1,8,119,READY
94,5,5,2,22,READY
95,5,5,1,27,READY
96,2,2,3,68,READY
97,4,4,8,43,READY
98,4,4,1,37,READY
99,4,4,1,65,READY
100,3,3,8,52,READY
