pid,burst_time,remaining_time,priority,memory_required,state
1,21,21,4,38,READY
2,24,24,9,94,READY
3,8,8,5,220,READY
4,4,4,18,54,READY
5,19,19,14,40,READY
6,1,1,3,87,READY
7,8,8,17,186,READY
8,1,1,18,82,READY
9,23,23,18,139,READY
10,8,8,15,182,READY
11,9,9,1,226,READY
12,26,26,6,210,READY
13,14,14,11,103,READY
14,5,5,7,227,READY
15,11,11,4,55,READY
16,13,13,4,123,READY
17,28,28,12,186,READY
18,9,9,2,218,READY
19,15,15,18,63,READY
20,30,30,13,52,READY
21,18,18,10,244,READY
22,21,21,20,252,READY
23,12,12,19,81,READY
24,23,23,3,43,READY
25,22,22,8,229,READY
26,10,10,3,250,READY
27,8,8,4,129,READY
28,9,9,15,194,READY
29,27,27,12,73,READY
30,12,12,12,85,READY
31,22,22,9,211,READY
32,30,30,3,187,READY
33,21,21,6,168,READY
34,24,24,8,73,READY
35,15,15,13,101,READY
36,30,30,18,88,READY
37,22,22,11,247,READY
38,25,25,2,90,READY
39,27,27,2,238,READY
40,11,11,13,100,READY
41,3,3,7,177,READY
42,29,29,11,86,READY
43,21,21,16,133,READY
44,29,29,15,68,READY
45,9,9,5,95,READY
46,24,24,18,169,READY
47,9,9,19,141,READY
48,29,29,19,134,READY
49,12,12,8,67,READY
50,17,17,16,55,READY
