pid,burst_time,remaining_time,priority,memory_required,state
1,21,21,4,38,READY
2,24,24,9,94,READY
3,8,8,5,220,READY
4,4,4,18,54,READY
5,19,19,14,40,READY
6,1,1,3,87,READY
7,8,8,17,186,READY
8,1,1,18,82,READY
9,23,23,18,139,READY
10,8,8,15,182,READY
11,9,9,1,226,READY
12,26,26,6,210,READY
13,14,14,11,103,READY
14,5,5,7,227,READY
15,11,11,4,55,READY
16,13,13,4,123,READY
17,28,28,12,186,READY
18,9,9,2,218,READY
19,15,15,18,63,READY
20,30,30,13,52,READY
21,18,18,10,244,READY
22,21,21,20,252,READY
23,12,12,19,81,READY
24,23,23,3,43,READY
25,22,22,8,229,READY
26,10,10,3,250,READY
27,8,8,4,129,READY
28,9,9,15,194,READY
29,27,27,12,73,READY
30,12,12,12,85,READY
31,22,22,9,211,READY
32,30,30,3,187,READY
33,21,21,6,168,READY
34,24,24,8,73,READY
35,15,15,13,101,READY
36,30,30,18,88,READY
37,22,22,11,247,READY
38,25,25,2,90,READY
39,27,27,2,238,READY
40,11,11,13,100,READY
41,3,3,7,177,READY
42,29,29,11,86,READY
43,21,21,16,133,READY
44,29,29,15,68,READY
45,9,9,5,95,READY
46,24,24,18,169,READY
47,9,9,19,141,READY
48,29,29,19,134,READY
49,12,12,8,67,READY
50,17,17,16,55,READY
51,25,25,2,252,READY
52,4,4,5,192,READY
53,6,6,14,184,READY
54,3,3,13,129,READY
55,20,20,15,167,READY
56,9,9,18,252,READY
57,1,1,4,206,READY
58,29,29,18,224,READY
59,9,9,11,60,READY
60,10,10,14,72,READY
61,15,15,1,216,READY
62,29,29,9,160,READY
63,25,25,6,161,READY
64,30,30,4,254,READY
65,21,21,10,247,READY
66,21,21,17,187,READY
67,7,7,5,127,READY
68,25,25,6,170,READY
69,25,25,17,32,READY
70,20,20,11,157,READY
71,1,1,4,124,READY
72,29,29,10,93,READY
73,2,2,8,256,READY
74,19,19,3,53,READY
75,24,24,16,240,READY
76,3,3,18,228,READY
77,5,5,5,200,READY
78,16,16,18,74,READY
79,9,9,17,255,READY
80,20,20,14,86,READY
81,30,30,18,225,READY
82,24,24,7,214,READY
83,10,10,13,203,READY
84,21,21,12,144,READY
85,29,29,17,147,READY
86,4,4,8,89,READY
87,3,3,11,37,READY
88,19,19,18,90,READY
89,19,19,8,33,READY
90,3,3,2,90,READY
91,3,3,2,252,READY
92,11,11,3,163,READY
93,8,8,9,203,READY
94,16,16,7,170,READY
95,5,5,19,179,READY
96,16,16,8,232,READY
97,16,16,14,80,READY
98,4,4,4,200,READY
99,14,14,12,140,READY
100,14,14,15,253,READY
