pid,burst_time,remaining_time,priority,memory_required,state
1,91,91,1,307,READY
2,45,45,2,713,READY
3,27,27,1,1641,READY
4,79,79,1,1465,READY
5,64,64,1,317,READY
6,21,21,2,732,READY
7,74,74,5,310,READY
8,81,81,2,1722,READY
9,93,93,5,1115,READY
10,38,38,4,1462,READY
11,45,45,1,1810,READY
12,30,30,4,952,READY
13,45,45,2,696,READY
14,53,53,1,445,READY
15,58,58,1,991,READY
16,54,54,5,797,READY
17,15,15,4,1354,READY
18,25,25,4,417,READY
19,80,80,3,1954,READY
20,90,90,5,2020,READY
21,56,56,5,649,READY
22,100,100,1,349,READY
23,94,94,2,1839,READY
24,47,47,1,2007,READY
25,39,39,1,1034,READY
26,45,45,4,1557,READY
27,56,56,2,1014,READY
28,55,55,2,1628,READY
29,44,44,1,1503,READY
30,91,91,2,1349,READY
31,41,41,2,1202,READY
32,58,58,3,1566,READY
33,98,98,5,705,READY
34,97,97,3,1982,READY
35,17,17,2,1939,READY
36,14,14,3,1077,READY
37,44,44,1,688,READY
38,82,82,3,691,READY
39,93,93,4,1066,READY
40,92,92,4,548,READY
41,43,43,2,761,READY
42,81,81,5,794,READY
43,84,84,4,1451,READY
44,61,61,3,705,READY
45,27,27,5,1266,READY
46,21,21,1,2019,READY
47,24,24,2,1541,READY
48,30,30,4,1477,READY
49,18,18,4,1037,READY
50,86,86,4,1339,READY
51,42,42,5,2018,READY
52,11,11,1,1652,READY
53,78,78,3,1830,READY
54,92,92,3,484,READY
55,47,47,4,579,READY
56,68,68,1,1734,READY
57,43,43,5,1816,READY
58,32,32,5,473,READY
59,90,90,3,1979,READY
60,91,91,5,1503,READY
61,35,35,2,1021,READY
62,30,30,5,1850,READY
63,77,77,1,1482,READY
64,51,51,4,295,READY
65,24,24,3,1959,READY
66,49,49,2,374,READY
67,40,40,5,417,READY
68,20,20,4,1927,READY
69,18,18,5,1824,READY
70,26,26,2,1607,READY
71,70,70,5,594,READY
72,43,43,5,2042,READY
73,87,87,4,689,READY
74,79,79,2,1716,READY
75,49,49,4,1631,READY
76,93,93,3,1153,READY
77,76,76,4,503,READY
78,41,41,2,387,READY
79,53,53,1,1460,READY
80,80,80,2,1461,READY
81,38,38,1,401,READY
82,100,100,1,724,READY
83,18,18,1,2016,READY
84,52,52,1,1308,READY
85,40,40,3,1626,READY
86,72,72,2,1360,READY
87,26,26,5,1436,READY
88,70,70,2,1862,READY
89,70,70,4,645,READY
90,22,22,1,1605,READY
91,65,65,3,1123,READY
92,62,62,4,2025,READY
93,16,16,1,380,READY
94,61,61,3,1895,READY
95,23,23,2,648,READY
96,34,34,5,1174,READY
97,27,27,4,631,READY
98,45,45,4,767,READY
99,19,19,4,1910,READY
100,80,80,1,359,READY
101,93,93,5,1968,READY
102,11,11,1,1799,READY
103,40,40,2,1088,READY
104,72,72,4,693,READY
105,61,61,1,593,READY
106,58,58,1,1055,READY
107,43,43,4,840,READY
108,64,64,5,1611,READY
109,72,72,2,644,READY
110,47,47,2,375,READY
111,84,84,5,380,READY
112,50,50,1,358,READY
113,84,84,4,1285,READY
114,77,77,2,372,READY
115,75,75,1,1999,READY
116,33,33,1,1474,READY
117,18,18,2,1082,READY
118,25,25,5,760,READY
119,84,84,5,337,READY
120,89,89,1,1114,READY
121,94,94,5,1413,READY
122,76,76,3,790,READY
123,36,36,3,744,READY
124,43,43,4,524,READY
125,95,95,3,1192,READY
126,50,50,1,275,READY
127,68,68,5,1409,READY
128,22,22,1,1357,READY
129,37,37,5,799,READY
130,26,26,3,396,READY
131,41,41,3,839,READY
132,30,30,4,1963,READY
133,79,79,3,1508,READY
134,93,93,5,272,READY
135,95,95,5,869,READY
136,94,94,1,531,READY
137,43,43,1,475,READY
138,80,80,2,813,READY
139,46,46,5,687,READY
140,53,53,2,1663,READY
141,91,91,3,1291,READY
142,72,72,3,1988,READY
143,16,16,1,1555,READY
144,64,64,3,346,READY
145,10,10,3,1835,READY
146,26,26,3,586,READY
147,66,66,5,1701,READY
148,64,64,5,275,READY
149,24,24,1,1671,READY
150,29,29,5,329,READY
151,57,57,5,1387,READY
152,28,28,4,517,READY
153,15,15,3,1002,READY
154,15,15,3,686,READY
155,97,97,2,1621,READY
156,23,23,3,1853,READY
157,81,81,4,1527,READY
158,29,29,2,2026,READY
159,30,30,2,1100,READY
160,13,13,2,1764,READY
161,52,52,4,1898,READY
162,95,95,2,802,READY
163,30,30,1,1039,READY
164,14,14,4,711,READY
165,35,35,4,972,READY
166,49,49,2,712,READY
167,13,13,2,1072,READY
168,52,52,3,2026,READY
169,18,18,3,975,READY
170,92,92,5,1074,READY
171,96,96,5,934,READY
172,13,13,1,790,READY
173,32,32,5,799,READY
174,14,14,1,1477,READY
175,65,65,3,1748,READY
176,50,50,4,1497,READY
177,75,75,1,1044,READY
178,83,83,2,777,READY
179,15,15,4,259,READY
180,76,76,5,1662,READY
181,95,95,2,1001,READY
182,65,65,1,1616,READY
183,52,52,5,898,READY
184,94,94,1,1730,READY
185,48,48,5,889,READY
186,95,95,4,924,READY
187,61,61,3,1391,READY
188,26,26,2,1117,READY
189,95,95,4,1643,READY
190,32,32,5,1421,READY
191,48,48,4,1378,READY
192,10,10,3,843,READY
193,36,36,4,1865,READY
194,84,84,5,1596,READY
195,51,51,4,1160,READY
